Year,Month,K_MinTemp,K_MaxTemp,K_Rainfall,K_Humidity9am,K_Humidity3pm,K_Pressure9am,K_Pressure3pm,Period
2013,2,18.639285714285712,24.900000000000002,225.4,76.03571428571429,65.03571428571429,1013.4499999999999,1011.9821428571429,2013.02
2013,3,17.403225806451612,24.906451612903226,96.4,76.7741935483871,58.61290322580645,1020.3806451612903,1018.4935483870968,2013.03
2013,4,13.796666666666665,21.663333333333334,141.2,74.23333333333333,57.7,1021.0066666666667,1018.85,2013.04
2013,5,11.399999999999999,20.53548387096774,3.0,74.19354838709677,54.806451612903224,1021.6419354838711,1019.0793548387096,2013.05
2013,6,11.91,18.60666666666667,127.2,78.2,61.9,1023.7566666666667,1021.4300000000001,2013.06
2013,7,8.290322580645162,17.212903225806453,89.6,70.25806451612904,49.225806451612904,1019.8516129032258,1017.0612903225807,2013.07
2013,8,8.164516129032258,17.451612903225808,44.4,62.58064516129032,46.12903225806452,1020.3193548387097,1017.8791935483871,2013.08
2013,9,12.31,21.503333333333334,99.0,61.733333333333334,53.3,1019.83,1016.6425666666668,2013.09
2013,10,14.706451612903225,23.051612903225806,67.0,70.03225806451613,58.70967741935484,1020.7451612903226,1017.9032258064516,2013.1
2013,11,16.669999999999998,24.0,72.8,62.06666666666667,56.2,1011.36,1009.5033333333333,2013.11
2013,12,18.103225806451615,26.01290322580645,54.2,67.7741935483871,58.645161290322584,1009.9709677419354,1007.7516129032258,2013.12
2014,1,19.97741935483871,27.358064516129033,24.799999999999997,65.93548387096774,56.61290322580645,1015.5483870967741,1013.3225806451613,2014.01
2014,2,19.678571428571427,25.62857142857143,127.60000000000001,77.46428571428571,63.392857142857146,1014.3178571428572,1012.65,2014.02
2014,3,18.822580645161292,25.39032258064516,106.6,72.70967741935483,59.74193548387097,1018.1096774193549,1016.3096774193548,2014.03
2014,4,15.176666666666668,22.563333333333333,112.0,70.46666666666667,57.46666666666667,1019.3533333333332,1017.0866666666666,2014.04
2014,5,12.635483870967741,20.43548387096774,120.8,74.80645161290323,57.54838709677419,1023.8612903225807,1021.5774193548388,2014.05
2014,6,10.313333333333333,17.993333333333332,129.2,77.26666666666667,55.666666666666664,1016.7166666666667,1014.0933333333334,2014.06
2014,7,8.935483870967742,18.203225806451613,53.0,72.09677419354838,46.193548387096776,1019.5612903225807,1016.9193548387096,2014.07
2014,8,10.480645161290322,20.948387096774194,6.0,56.645161290322584,40.67741935483871,1017.1741935483872,1013.8451612903226,2014.08
2014,9,13.833333333333334,23.486666666666668,16.0,51.86666666666667,43.233333333333334,1014.33,1011.13,2014.09
2014,10,14.46774193548387,21.67096774193548,179.20000000000002,67.48387096774194,55.096774193548384,1019.2741935483871,1017.0225806451613,2014.1
2014,11,18.209999999999997,25.513333333333332,27.8,66.93333333333334,56.96666666666667,1016.8199999999999,1014.6033333333332,2014.11
2014,12,19.65806451612903,25.86774193548387,62.4,70.87096774193549,63.67741935483871,1016.3129032258065,1014.1741935483872,2014.12
2015,1,21.006451612903227,27.593548387096774,165.8,72.96774193548387,62.645161290322584,1013.9806451612903,1012.1290322580645,2015.01
2015,2,20.582142857142856,26.910714285714285,126.8,70.42857142857143,61.892857142857146,1017.4142857142857,1015.7357142857143,2015.02
2015,3,18.651612903225807,25.606451612903225,36.8,74.61290322580645,58.064516129032256,1021.9064516129032,1019.9774193548387,2015.03
2015,4,15.086666666666668,24.453333333333333,21.200000000000003,69.86666666666666,50.43333333333333,1020.5266666666666,1017.8666666666667,2015.04
2015,5,11.574193548387097,19.396774193548385,275.6,78.41935483870968,63.806451612903224,1017.8064516129032,1015.4451612903225,2015.05
2015,6,8.770000000000001,16.906666666666666,76.39999999999999,76.03333333333333,56.2,1024.8,1022.3166666666667,2015.06
2015,7,9.235483870967743,17.5258064516129,92.39999999999999,73.25806451612904,53.0,1021.4967741935484,1018.9193548387096,2015.07
2015,8,11.03225806451613,19.480645161290322,17.8,58.87096774193548,43.38709677419355,1016.1064516129032,1013.1580645161291,2015.08
2015,9,13.786666666666667,21.91,64.0,66.56666666666666,60.06666666666667,1019.1433333333333,1016.4133333333334,2015.09
2015,10,17.322580645161292,23.261290322580646,179.4,76.51612903225806,65.87096774193549,1017.7967741935485,1015.9516129032259,2015.1
2015,11,18.813333333333333,26.09333333333333,48.199999999999996,67.93333333333334,58.833333333333336,1011.4433333333333,1009.4,2015.11
2015,12,21.967741935483872,29.258064516129032,37.8,69.06451612903226,60.38709677419355,1013.1387096774193,1011.3838709677419,2015.12
2016,1,19.87741935483871,26.703225806451613,19.0,72.35483870967742,59.064516129032256,1016.574193548387,1014.9935483870968,2016.01
2016,2,17.179310344827584,24.196551724137933,195.20000000000002,79.48275862068965,63.13793103448276,1016.7241379310345,1014.9931034482759,2016.02
2016,3,10.406451612903227,18.85483870967742,139.4,70.06451612903226,55.61290322580645,1019.5129032258066,1017.1612903225806,2016.03
2016,4,10.093333333333334,18.096666666666668,88.4,69.36666666666666,50.13333333333333,1020.6133333333333,1018.43,2016.04
